BiomassPat_Id	BiomassPat_Name	Is_Urban	Electricity	LPG	Biogas	Charcoal	Com-Firewood	Free-Biomass	Pellets	Free-Firewood	Ethanol
2	FORE	0	1	1	3	0.9148	1	1	1	1	1
2	FORE	1	1	1	8	0.97	2	1	1	2	1
5	AGRO	0	1	1	3	0.8968	1.25	1	1	1.25	1
5	AGRO	1	1	1	7	1.0533	1.25	1	1	1.25	1
7	CITY	0	1	1	5	1.0071	1.75	1	1	1.75	1
7	CITY	1	1	1	10	1.183	5	1	1	5	1
11	RAGE	0	1	1	3	1.09	1.25	1	1	1.25	1
11	RAGE	1	1	1	7	1.09	1.25	1	1	1.25	1
