BuildingID	BuildingType	Long	Lat	SocClust_Id	SectorCode_Id	BiomasPat_Id	elec	lpg
0601022564	2	29.5006	-2.7988	4	0601	11	471	6
0601022565	3	29.5006	-2.7987	5	0601	11	471	6
0601022566	2	29.4994	-2.7987	4	0601	11	471	6
0601022567	2	29.5005	-2.7986	4	0601	11	471	6
0601022568	1	29.5001	-2.7985	3	0601	11	471	6
0601022569	3	29.5	-2.7984	5	0601	11	471	6
0601022570	1	29.4973	-2.7986	3	0601	11	471	6
0601022571	2	29.4972	-2.7986	4	0601	11	471	6
0601022572	2	29.4971	-2.7985	4	0601	11	471	6
0601022573	3	29.4958	-2.7985	5	0601	11	471	6
0601022574	2	29.4957	-2.7984	4	0601	11	471	6
0601022575	1	29.4955	-2.7984	3	0601	11	471	6
0601022576	2	29.4957	-2.7984	4	0601	11	471	6
0601022577	2	29.4956	-2.7983	4	0601	11	471	6
0601022578	2	29.4953	-2.7983	4	0601	11	471	6
0601022580	2	29.4952	-2.7981	4	0601	11	471	6
0601022581	1	29.4952	-2.798	3	0601	11	471	6
0601022582	3	29.4976	-2.7984	5	0601	11	471	6
0601022583	1	29.4985	-2.7984	3	0601	11	471	6
0601022584	1	29.4978	-2.7983	3	0601	11	471	6
0601022585	2	29.4977	-2.7982	4	0601	11	471	6
0601022586	8	29.498	-2.7978	2	0601	11	471	6
0601022587	2	29.4965	-2.7966	4	0601	11	471	6
0601022588	1	29.4942	-2.7975	3	0601	11	471	6
0601022589	1	29.4946	-2.7974	3	0601	11	471	6
0601022590	2	29.4948	-2.7972	4	0601	11	471	6
0601022591	2	29.4947	-2.7972	4	0601	11	471	6
0601022592	3	29.4946	-2.7969	5	0601	11	471	6
0601022593	2	29.4947	-2.7969	4	0601	11	471	6
0601022594	2	29.5022	-2.7968	4	0601	11	471	6
0601022595	1	29.5019	-2.7968	3	0601	11	471	6
0601022596	1	29.5021	-2.7967	3	0601	11	471	6
0601022597	2	29.5018	-2.7967	4	0601	11	471	6
0601022598	2	29.5022	-2.7967	4	0601	11	471	6
0601022599	2	29.5018	-2.7959	4	0601	11	471	6
0601022600	1	29.5021	-2.7957	3	0601	11	471	6
0601022601	2	29.4948	-2.7968	4	0601	11	471	6
0601022602	2	29.4946	-2.7968	4	0601	11	471	6
