BuildingID	BuildingType	Long	Lat	SocClust_Id	SectorCode_Id	BiomasPat_Id	elec	lpg
0401000001	2	29.7599	-2.3841	4	0401	5	436	4
0401000002	3	29.7606	-2.383	5	0401	7	436	4
0401000003	2	29.7619	-2.3841	4	0401	5	436	4
0401000004	2	29.7619	-2.384	4	0401	5	436	4
0401000005	2	29.7618	-2.384	4	0401	5	436	4
0401000046	2	29.7297	-2.3993	4	0401	11	436	4
0401000047	3	29.7301	-2.3988	5	0401	11	436	4
0401000048	2	29.7302	-2.3988	4	0401	11	436	4
0401000049	3	29.7302	-2.3987	5	0401	11	436	4
0401000050	3	29.7272	-2.3979	5	0401	11	436	4
0401000051	3	29.7273	-2.3979	5	0401	11	436	4
0401000052	1	29.7275	-2.3977	3	0401	11	436	4
0401000053	3	29.7292	-2.4004	5	0401	11	436	4
0401000054	3	29.7283	-2.3999	5	0401	11	436	4
0401000055	2	29.7281	-2.3999	4	0401	11	436	4
0401000056	2	29.7284	-2.3998	4	0401	11	436	4
0401000057	2	29.7283	-2.3996	4	0401	11	436	4
0401000058	3	29.7286	-2.3992	5	0401	11	436	4
0401000059	2	29.7281	-2.3992	4	0401	11	436	4
0401000060	3	29.7279	-2.3992	5	0401	11	436	4
0401000061	2	29.7279	-2.3991	4	0401	11	436	4
0401000062	3	29.7292	-2.3991	5	0401	11	436	4
0401000063	2	29.7293	-2.3991	4	0401	11	436	4
0401000064	2	29.7289	-2.3991	4	0401	11	436	4
0401000065	3	29.7284	-2.3988	5	0401	11	436	4
0401000066	4	29.7301	-2.3978	5	0401	11	436	4
0401000067	2	29.7299	-2.3978	4	0401	11	436	4
0401000068	3	29.7294	-2.3976	5	0401	11	436	4
0401000069	3	29.7294	-2.3975	5	0401	11	436	4
0401000070	2	29.7302	-2.3975	4	0401	11	436	4
0401000071	2	29.7298	-2.3975	4	0401	11	436	4
0401000072	2	29.7298	-2.3974	4	0401	11	436	4
0401000073	2	29.7326	-2.4002	4	0401	11	436	4
0401000074	1	29.7323	-2.4001	3	0401	11	436	4
0401000075	3	29.7341	-2.3977	5	0401	11	436	4
0401000076	2	29.7341	-2.3976	4	0401	11	436	4
0401000077	2	29.732	-2.4017	4	0401	11	436	4
0401000078	2	29.7315	-2.4012	4	0401	11	436	4
0401000079	2	29.7315	-2.4012	4	0401	11	436	4
0401000080	2	29.7314	-2.4011	4	0401	11	436	4
0401000081	2	29.7316	-2.4009	4	0401	11	436	4
0401000082	2	29.7314	-2.3996	4	0401	11	436	4
0401000083	2	29.7322	-2.3992	4	0401	11	436	4
0401000084	3	29.7323	-2.3991	5	0401	11	436	4
0401000085	2	29.7322	-2.3991	4	0401	11	436	4
0401000086	2	29.7318	-2.399	4	0401	11	436	4
0401000087	2	29.7314	-2.3989	4	0401	11	436	4
0401000088	2	29.7318	-2.3989	4	0401	11	436	4
0401000089	3	29.7309	-2.3987	5	0401	11	436	4
0401000090	2	29.7311	-2.3985	4	0401	11	436	4
0401000091	3	29.7309	-2.3985	5	0401	11	436	4
0401000092	2	29.7296	-2.3982	4	0401	11	436	4
0401000093	2	29.7296	-2.3982	4	0401	11	436	4
0401000094	2	29.73	-2.398	4	0401	11	436	4
0401000095	3	29.7302	-2.3979	5	0401	11	436	4
0401000097	2	29.7237	-2.3986	4	0401	11	436	4
0401000099	2	29.7208	-2.3993	4	0401	11	436	4
0401000100	2	29.7207	-2.3992	4	0401	11	436	4
0401000101	2	29.7206	-2.3991	4	0401	11	436	4
0401000102	3	29.7213	-2.3991	5	0401	11	436	4
0401000103	2	29.7219	-2.3989	4	0401	11	436	4
0401000104	3	29.7219	-2.3989	5	0401	11	436	4
0401000105	1	29.722	-2.398	3	0401	11	436	4
0401000106	2	29.7223	-2.3979	4	0401	11	436	4
0401000107	3	29.7231	-2.3978	5	0401	11	436	4
0401000108	2	29.723	-2.3978	4	0401	11	436	4
0401000109	2	29.7224	-2.3976	4	0401	11	436	4
0401000110	2	29.7225	-2.3975	4	0401	11	436	4
0401000111	2	29.7233	-2.3982	4	0401	11	436	4
0401000112	3	29.7236	-2.3981	5	0401	11	436	4
0401000113	2	29.7236	-2.3981	4	0401	11	436	4
0401000114	2	29.7244	-2.398	4	0401	11	436	4
0401000115	2	29.7244	-2.3979	4	0401	11	436	4
0401000116	2	29.7236	-2.3977	4	0401	11	436	4
0401000117	3	29.7235	-2.3976	5	0401	11	436	4
0401000118	2	29.7238	-2.3974	4	0401	11	436	4
0401000119	2	29.7361	-2.3958	4	0401	11	436	4
0401000120	2	29.7358	-2.3956	4	0401	11	436	4
0401000121	2	29.7358	-2.3956	4	0401	11	436	4
0401000122	3	29.7362	-2.3955	5	0401	11	436	4
0401000123	2	29.7369	-2.3948	4	0401	11	436	4
0401000124	2	29.7367	-2.3947	4	0401	11	436	4
0401000125	2	29.7367	-2.392	4	0401	11	436	4
0401000126	3	29.7373	-2.392	5	0401	11	436	4
0401000128	3	29.7357	-2.3947	5	0401	11	436	4
0401000129	4	29.7358	-2.3945	5	0401	11	436	4
0401000130	2	29.736	-2.3915	4	0401	11	436	4
0401000131	2	29.7359	-2.3913	4	0401	11	436	4
0401000132	2	29.7367	-2.3919	4	0401	11	436	4
0401000133	2	29.7374	-2.3918	4	0401	11	436	4
0401000134	3	29.7372	-2.3918	5	0401	11	436	4
0401000135	2	29.7369	-2.3917	4	0401	11	436	4
0401000136	4	29.7369	-2.3916	5	0401	11	436	4
0401000137	3	29.737	-2.3916	5	0401	11	436	4
0401000138	3	29.7369	-2.3915	5	0401	11	436	4
0401000139	2	29.735	-2.3916	4	0401	11	436	4
0401000140	3	29.7345	-2.3916	5	0401	11	436	4
0401000141	2	29.7345	-2.3914	4	0401	11	436	4
0401000142	3	29.7352	-2.3912	5	0401	11	436	4
0401000143	2	29.7352	-2.3912	4	0401	11	436	4
0401000144	2	29.7345	-2.3909	4	0401	11	436	4
0401000145	3	29.7345	-2.3909	5	0401	11	436	4
0401000146	3	29.7355	-2.3911	5	0401	11	436	4
0401000147	3	29.736	-2.3911	5	0401	11	436	4
0401000148	2	29.7358	-2.3909	4	0401	11	436	4
0401000149	3	29.7356	-2.3909	5	0401	11	436	4
0401000150	3	29.7368	-2.3913	5	0401	11	436	4
0401000151	4	29.7374	-2.3912	5	0401	11	436	4
0401000152	3	29.7368	-2.3911	5	0401	11	436	4
0401000153	3	29.7367	-2.3911	5	0401	11	436	4
0401000154	3	29.7368	-2.3892	5	0401	11	436	4
0401000156	3	29.7407	-2.3903	5	0401	5	436	4
0401000157	2	29.7412	-2.39	4	0401	5	436	4
0401000158	2	29.7417	-2.3894	4	0401	5	436	4
0401000159	2	29.7421	-2.3875	4	0401	5	436	4
0401000160	2	29.7419	-2.3872	4	0401	5	436	4
0401000161	4	29.7401	-2.3851	5	0401	5	436	4
0401000162	2	29.7303	-2.3945	4	0401	11	436	4
0401000163	2	29.7302	-2.3944	4	0401	11	436	4
0401000164	3	29.7308	-2.3943	5	0401	11	436	4
0401000165	3	29.7307	-2.3936	5	0401	11	436	4
0401000167	4	29.7298	-2.3905	5	0401	11	436	4
0401000168	4	29.7346	-2.3932	5	0401	11	436	4
0401000169	2	29.7347	-2.3928	4	0401	11	436	4
0401000170	3	29.7343	-2.3921	5	0401	11	436	4
0401000171	2	29.7345	-2.392	4	0401	11	436	4
0401000172	3	29.7346	-2.392	5	0401	11	436	4
0401000173	2	29.7344	-2.3917	4	0401	11	436	4
0401000174	1	29.7309	-2.3924	3	0401	11	436	4
0401000175	2	29.7315	-2.3924	4	0401	11	436	4
0401000176	2	29.7316	-2.3923	4	0401	11	436	4
0401000177	3	29.7313	-2.3922	5	0401	11	436	4
0401000178	1	29.7314	-2.3918	3	0401	11	436	4
0401000179	1	29.7321	-2.3902	3	0401	11	436	4
0401000180	3	29.7312	-2.3898	5	0401	11	436	4
0401000181	4	29.7311	-2.3898	5	0401	11	436	4
0401000182	2	29.7338	-2.392	4	0401	11	436	4
0401000183	3	29.7333	-2.392	5	0401	11	436	4
0401000184	3	29.7336	-2.3919	5	0401	11	436	4
0401000185	4	29.7324	-2.3898	5	0401	11	436	4
0401000186	3	29.7309	-2.3899	5	0401	11	436	4
0401000187	2	29.7305	-2.3897	4	0401	11	436	4
0401000188	2	29.7304	-2.3895	4	0401	11	436	4
0401000189	4	29.7306	-2.3893	5	0401	11	436	4
0401000190	2	29.7295	-2.3889	4	0401	11	436	4
0401000192	3	29.7343	-2.3884	5	0401	11	436	4
0401000193	2	29.7344	-2.3883	4	0401	11	436	4
0401000194	4	29.7344	-2.3881	5	0401	11	436	4
0401000195	3	29.7345	-2.3881	5	0401	11	436	4
0401000196	2	29.734	-2.388	4	0401	11	436	4
0401000197	2	29.7326	-2.3887	4	0401	11	436	4
0401000198	4	29.7328	-2.3887	5	0401	11	436	4
0401000199	3	29.7329	-2.3886	5	0401	11	436	4
0401000200	3	29.7325	-2.3886	5	0401	11	436	4
0401000201	2	29.7325	-2.3886	4	0401	11	436	4
0401000202	3	29.7329	-2.3884	5	0401	11	436	4
0401000203	3	29.7329	-2.3884	5	0401	11	436	4
0401000204	2	29.7315	-2.3895	4	0401	11	436	4
0401000205	2	29.7314	-2.3895	4	0401	11	436	4
0401000206	2	29.7316	-2.3889	4	0401	11	436	4
0401000207	3	29.7319	-2.3872	5	0401	11	436	4
0401000208	3	29.7313	-2.3869	5	0401	11	436	4
0401000209	2	29.7314	-2.3869	4	0401	11	436	4
0401000210	3	29.7317	-2.3867	5	0401	11	436	4
0401000211	2	29.7316	-2.3867	4	0401	11	436	4
0401000212	2	29.7338	-2.3882	4	0401	11	436	4
0401000213	2	29.733	-2.3882	4	0401	11	436	4
0401000214	3	29.7331	-2.3881	5	0401	11	436	4
0401000215	1	29.7334	-2.3881	3	0401	11	436	4
0401000216	2	29.7337	-2.388	4	0401	11	436	4
0401000217	3	29.7338	-2.388	5	0401	11	436	4
0401000219	2	29.7444	-2.3901	4	0401	5	436	4
0401000220	2	29.744	-2.3901	4	0401	5	436	4
0401000221	2	29.7444	-2.3901	4	0401	5	436	4
0401000222	2	29.7439	-2.3899	4	0401	5	436	4
0401000223	4	29.7439	-2.3899	5	0401	5	436	4
0401000224	2	29.7445	-2.3899	4	0401	5	436	4
0401000225	3	29.7457	-2.3895	5	0401	5	436	4
0401000226	2	29.7455	-2.3894	4	0401	5	436	4
0401000227	2	29.7459	-2.389	4	0401	5	436	4
0401000228	3	29.7432	-2.389	5	0401	5	436	4
0401000229	2	29.7435	-2.3887	4	0401	5	436	4
0401000230	2	29.7431	-2.3886	4	0401	5	436	4
0401000231	2	29.7427	-2.3885	4	0401	5	436	4
0401000232	2	29.7428	-2.3884	4	0401	5	436	4
0401000233	4	29.7431	-2.3883	5	0401	5	436	4
0401000234	3	29.7434	-2.3882	5	0401	5	436	4
0401000235	3	29.746	-2.3894	5	0401	5	436	4
0401000236	4	29.746	-2.3893	5	0401	5	436	4
0401000237	2	29.7461	-2.3892	4	0401	5	436	4
0401000238	3	29.7462	-2.3888	5	0401	5	436	4
0401000239	2	29.7463	-2.3886	4	0401	5	436	4
0401000240	2	29.7464	-2.3884	4	0401	5	436	4
0401000241	2	29.7496	-2.3873	4	0401	5	436	4
0401000242	3	29.7497	-2.3872	5	0401	5	436	4
0401000243	3	29.7496	-2.3869	5	0401	5	436	4
0401000244	2	29.7497	-2.3866	4	0401	5	436	4
0401000245	4	29.7495	-2.3866	5	0401	5	436	4
0401000246	2	29.7519	-2.3869	4	0401	5	436	4
0401000247	3	29.752	-2.3866	5	0401	5	436	4
0401000250	2	29.7517	-2.3844	4	0401	5	436	4
0401000251	4	29.7511	-2.3867	5	0401	5	436	4
0401000252	3	29.7504	-2.3866	5	0401	5	436	4
0401000253	3	29.751	-2.3861	5	0401	5	436	4
0401000256	4	29.7507	-2.3848	5	0401	5	436	4
0401000257	3	29.7524	-2.3842	5	0401	7	436	4
0401000258	3	29.7516	-2.3842	5	0401	5	436	4
0401000259	3	29.7525	-2.3839	5	0401	7	436	4
0401000260	3	29.752	-2.3838	5	0401	7	436	4
0401000261	3	29.7515	-2.3835	5	0401	7	436	4
0401000262	3	29.7505	-2.3847	5	0401	5	436	4
0401000263	2	29.7515	-2.3834	4	0401	7	436	4
0401000264	3	29.7513	-2.3834	5	0401	7	436	4
