BuildingID	BuildingType	Long	Lat	SocClust_Id	SectorCode_Id	BiomasPat_Id	elec	lpg
0901003205	2	29.7394	-2.2438	4	0901	11	505	9
0901003206	2	29.7259	-2.2414	4	0901	11	505	9
0901003207	3	29.7261	-2.2413	5	0901	11	505	9
0901003208	1	29.7261	-2.2412	3	0901	11	505	9
0901003210	2	29.7273	-2.2467	4	0901	11	505	9
0901003211	2	29.7274	-2.2467	4	0901	11	505	9
0901003213	2	29.7279	-2.2467	4	0901	11	505	9
0901003214	1	29.7278	-2.2467	3	0901	11	505	9
0901003215	1	29.7278	-2.2466	3	0901	11	505	9
0901003216	2	29.7279	-2.2466	4	0901	11	505	9
0901003217	1	29.7279	-2.2465	3	0901	11	505	9
0901003218	2	29.7284	-2.2465	4	0901	11	505	9
0901003219	2	29.7288	-2.2465	4	0901	11	505	9
0901003220	1	29.728	-2.2465	3	0901	11	505	9
0901003221	1	29.7275	-2.2466	3	0901	11	505	9
0901003222	2	29.7276	-2.2466	4	0901	11	505	9
0901003223	1	29.7276	-2.2465	3	0901	11	505	9
0901003224	1	29.7276	-2.2464	3	0901	11	505	9
0901003225	2	29.7275	-2.2464	4	0901	11	505	9
0901003226	2	29.7279	-2.2465	4	0901	11	505	9
0901003227	2	29.728	-2.2464	4	0901	11	505	9
0901003228	2	29.728	-2.2464	4	0901	11	505	9
0901003229	2	29.7282	-2.2464	4	0901	11	505	9
0901003230	3	29.7281	-2.2463	5	0901	11	505	9
0901003231	2	29.7279	-2.2463	4	0901	11	505	9
0901003232	1	29.7279	-2.2462	3	0901	11	505	9
0901003233	1	29.728	-2.2462	3	0901	11	505	9
0901003234	2	29.7273	-2.2464	4	0901	11	505	9
0901003235	3	29.7273	-2.2463	5	0901	11	505	9
0901003236	2	29.7273	-2.2463	4	0901	11	505	9
0901003237	2	29.7273	-2.2463	4	0901	11	505	9
0901003238	2	29.7274	-2.2463	4	0901	11	505	9
0901003239	2	29.7272	-2.2462	4	0901	11	505	9
0901003240	2	29.7275	-2.2462	4	0901	11	505	9
0901003241	4	29.7276	-2.2462	5	0901	11	505	9
0901003242	1	29.7271	-2.2461	3	0901	11	505	9
0901003244	2	29.7295	-2.2448	4	0901	11	505	9
0901003246	3	29.7324	-2.2443	5	0901	11	505	9
0901003247	4	29.7329	-2.2441	5	0901	11	505	9
0901003248	2	29.7333	-2.2439	4	0901	11	505	9
0901003250	1	29.7317	-2.2448	3	0901	11	505	9
0901003251	2	29.7316	-2.2447	4	0901	11	505	9
0901003252	2	29.732	-2.2446	4	0901	11	505	9
0901003253	2	29.7321	-2.2446	4	0901	11	505	9
0901003254	2	29.7317	-2.2445	4	0901	11	505	9
0901003255	1	29.7345	-2.2439	3	0901	11	505	9
0901003256	2	29.734	-2.2439	4	0901	11	505	9
0901003257	2	29.7343	-2.2437	4	0901	11	505	9
0901003258	2	29.7342	-2.2437	4	0901	11	505	9
0901003259	2	29.7348	-2.2437	4	0901	11	505	9
0901003260	2	29.7343	-2.2436	4	0901	11	505	9
0901003261	1	29.734	-2.2436	3	0901	11	505	9
0901003263	3	29.717	-2.2422	5	0901	11	505	9
0901003264	2	29.7169	-2.2422	4	0901	11	505	9
0901003265	2	29.7173	-2.2421	4	0901	11	505	9
0901003266	2	29.72	-2.2432	4	0901	11	505	9
0901003267	2	29.7199	-2.2429	4	0901	11	505	9
0901003268	2	29.7194	-2.2427	4	0901	11	505	9
0901003269	1	29.7197	-2.2426	3	0901	11	505	9
0901003270	2	29.7187	-2.2422	4	0901	11	505	9
0901003271	2	29.7188	-2.2422	4	0901	11	505	9
0901003272	3	29.7187	-2.2421	5	0901	11	505	9
0901003273	3	29.7187	-2.2421	5	0901	11	505	9
0901003274	1	29.7184	-2.2419	3	0901	11	505	9
0901003275	2	29.7184	-2.2418	4	0901	11	505	9
0901003276	2	29.7176	-2.2417	4	0901	11	505	9
0901003277	1	29.7172	-2.2419	3	0901	11	505	9
0901003278	2	29.7165	-2.2419	4	0901	11	505	9
0901003279	2	29.7173	-2.2417	4	0901	11	505	9
0901003280	2	29.7164	-2.2417	4	0901	11	505	9
0901003281	2	29.7196	-2.2425	4	0901	11	505	9
0901003283	4	29.7201	-2.2412	5	0901	11	505	9
0901003284	3	29.7199	-2.2412	5	0901	11	505	9
0901003285	2	29.7203	-2.2394	4	0901	11	505	9
0901003286	3	29.7187	-2.2416	5	0901	11	505	9
0901003287	2	29.7187	-2.2415	4	0901	11	505	9
0901003289	1	29.7274	-2.2461	3	0901	11	505	9
0901003290	2	29.7274	-2.2461	4	0901	11	505	9
0901003291	2	29.7275	-2.2461	4	0901	11	505	9
0901003292	18	29.7276	-2.246	1	0901	11	505	9
0901003293	2	29.7275	-2.246	4	0901	11	505	9
0901003294	2	29.7276	-2.2459	4	0901	11	505	9
0901003295	1	29.728	-2.2461	3	0901	11	505	9
0901003296	2	29.7279	-2.2459	4	0901	11	505	9
0901003297	2	29.7282	-2.2459	4	0901	11	505	9
0901003298	2	29.7278	-2.2458	4	0901	11	505	9
0901003299	2	29.728	-2.2458	4	0901	11	505	9
0901003300	2	29.7278	-2.2457	4	0901	11	505	9
0901003301	2	29.7281	-2.2457	4	0901	11	505	9
0901003302	3	29.7279	-2.2457	5	0901	11	505	9
0901003303	2	29.729	-2.2448	4	0901	11	505	9
0901003304	2	29.7292	-2.2447	4	0901	11	505	9
0901003305	2	29.7295	-2.2448	4	0901	11	505	9
0901003306	2	29.7299	-2.2446	4	0901	11	505	9
0901003307	2	29.7299	-2.2445	4	0901	11	505	9
0901003308	1	29.7294	-2.2445	3	0901	11	505	9
0901003309	2	29.7294	-2.2444	4	0901	11	505	9
0901003310	3	29.7294	-2.2444	5	0901	11	505	9
0901003311	2	29.7303	-2.2442	4	0901	11	505	9
0901003312	2	29.7303	-2.2442	4	0901	11	505	9
0901003313	1	29.7303	-2.2436	3	0901	11	505	9
0901003314	2	29.7304	-2.2435	4	0901	11	505	9
0901003315	3	29.7303	-2.2434	5	0901	11	505	9
0901003316	1	29.7277	-2.2459	3	0901	11	505	9
0901003317	2	29.7275	-2.2459	4	0901	11	505	9
0901003318	2	29.7276	-2.2458	4	0901	11	505	9
0901003319	2	29.7269	-2.2416	4	0901	11	505	9
0901003320	1	29.7267	-2.2413	3	0901	11	505	9
0901003321	3	29.727	-2.2383	5	0901	11	505	9
0901003322	2	29.7293	-2.2446	4	0901	11	505	9
0901003323	2	29.7289	-2.2446	4	0901	11	505	9
0901003324	2	29.7288	-2.2443	4	0901	11	505	9
0901003325	2	29.7288	-2.2442	4	0901	11	505	9
0901003328	1	29.726	-2.2408	3	0901	11	505	9
0901003329	2	29.7259	-2.2407	4	0901	11	505	9
0901003330	2	29.7255	-2.2406	4	0901	11	505	9
0901003333	2	29.7307	-2.2371	4	0901	11	505	9
0901003335	2	29.7297	-2.2363	4	0901	11	505	9
0901003336	3	29.7298	-2.2363	5	0901	11	505	9
0901003337	2	29.7301	-2.236	4	0901	11	505	9
0901003338	2	29.73	-2.236	4	0901	11	505	9
0901003339	2	29.727	-2.2382	4	0901	11	505	9
0901003340	2	29.7265	-2.2335	4	0901	11	505	9
0901003341	2	29.7274	-2.2331	4	0901	11	505	9
0901003342	1	29.7172	-2.2414	3	0901	11	505	9
0901003343	3	29.7158	-2.2409	5	0901	11	505	9
