DepPlan_id	Is_Urban	Electric_0	Electric_1	Electric_2	LPG	Biogas	Charcoal_0	Charcoal_1	Charcoal_2	Firewood-Bio_0	Firewood-Bio_1	Firewood-Bio_2	Pellets	Ethanol
10	0	0.7	0.8	0.8	0.4	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
10	1	0.8	1	0.9	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
11	0	0.7	0.8	0.8	0.4	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
11	1	0.8	1	0.9	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
12	0	0.7	0.8	0.8	0.4	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
12	1	0.8	1	0.9	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
13	0	0.7	0.8	0.8	0.4	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
13	1	0.8	1	0.9	0.8	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
