BuildingType_Id	BuildingType_Name	Domestic	Commercial	Industrial
1	residential_S	1	0	0
2	residential_M	1	0	0
3	residential_L	1	0	0
4	residential_XL	1	0	0
5	commercial_S	0	0	0
6	commercial_L	0	0	0
7	hotel	2	0	0
8	commercial-CC	2	0	0
9	industry_S-CC	8	0	0
10	industry_L-CC	2	0	0
11	industry	0	0	0
12	education_S	0.3	0	0
13	education_L	0.3	0	0
14	restaurant_S	8	0	0
15	restaurant_M	8	0	0
16	restaurant_L	8	0	0
17	hospital	1	0	0
18	office	0.3	0	0
19	airport	2	0	0
20	residential_GR	1	0	0
