DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Biogas	Charcoal	Com-Firewood	Electricity	Ethanol	Free-Biomass	Free-Firewood	LPG	Pellets
1	Bugesera	24	30	rural	3.2232562864279766	0.941209809965505	1.2164184727013203	1.0	1.0	1.0	1.2164184727013203	1.0	1.0
1	Bugesera	24	30	urban	7.65832365415987	1.0511443896197765	1.918255402183461	1.0	1.0	1.0	1.918255402183461	1.0	1.0
2	Bugesera	19	30	rural	3.2318078084155495	0.9381570062602245	1.2274668859094362	1.0	1.0	1.0	1.2274668859094362	1.0	1.0
2	Bugesera	19	30	urban	7.642449999999999	1.0429224751816746	1.8988625000000001	1.0	1.0	1.0	1.8988625000000001	1.0	1.0
3	Bugesera	13	30	rural	3.404376534746027	0.9774864492879402	1.2627367326269865	1.0	1.0	1.0	1.2627367326269865	1.0	1.0
3	Bugesera	13	30	urban	8.226133360258482	1.0766261332310179	2.6284465064620353	1.0	1.0	1.0	2.6284465064620353	1.0	1.0
4	Bugesera	23	30	rural	3.2374401584399752	0.9256854497349177	1.2080454550071096	1.0	1.0	1.0	1.2080454550071096	1.0	1.0
4	Bugesera	23	30	urban	7.767346494617721	1.0442997655230473	2.037870228401877	1.0	1.0	1.0	2.037870228401877	1.0	1.0
5	Bugesera	22	30	rural	3.2298971211515397	0.9589478966753299	1.2294246601359458	1.0	1.0	1.0	1.2294246601359458	1.0	1.0
5	Bugesera	22	30	urban	7.67688612589466	1.0508080076160764	1.937383120756102	1.0	1.0	1.0	1.937383120756102	1.0	1.0
6	Bugesera	2	30	rural	3.2420192272309114	0.9840829267663294	1.2334048068077277	1.0	1.0	1.0	1.2334048068077277	1.0	1.0
6	Bugesera	2	30	urban	7.64245	1.0593374633333332	1.8988625	1.0	1.0	1.0	1.8988625	1.0	1.0
7	Bugesera	1	30	rural	3.2227	0.9644989031818182	1.228575	1.0	1.0	1.0	1.228575	1.0	1.0
7	Bugesera	1	30	urban	8.2849	1.0317332600000002	2.5477250000000002	1.0	1.0	1.0	2.5477250000000002	1.0	1.0
8	Bugesera	21	30	rural	3.4107323679727433	0.9340091229045997	1.2755830919931856	1.0	1.0	1.0	1.2755830919931856	1.0	1.0
8	Bugesera	21	30	urban	8.938115634674924	1.0998297620949435	3.5184445433436538	1.0	1.0	1.0	3.5184445433436538	1.0	1.0
9	Bugesera	5	30	rural	3.2226999999999997	0.9447342519477234	1.2279426222596963	1.0	1.0	1.0	1.2279426222596963	1.0	1.0
9	Bugesera	5	30	urban	7.64245	1.04251663	1.8988625000000001	1.0	1.0	1.0	1.8988625000000001	1.0	1.0
10	Bugesera	14	30	rural	3.2917581239209666	0.9240914337435259	1.2458395309802417	1.0	1.0	1.0	1.2458395309802417	1.0	1.0
10	Bugesera	14	30	urban	8.152777357755262	1.0645797827669525	2.5367716971940766	1.0	1.0	1.0	2.5367716971940766	1.0	1.0
11	Bugesera	17	30	rural	3.4608051319343445	0.930416145876792	1.285218465613962	1.0	1.0	1.0	1.285218465613962	1.0	1.0
11	Bugesera	17	30	urban	8.8339915704388	1.0938300393533487	3.3874955831408777	1.0	1.0	1.0	3.3874955831408777	1.0	1.0
12	Bugesera	11	30	rural	3.22592141332701	0.9190655370239507	1.2282650818117145	1.0	1.0	1.0	1.2282650818117145	1.0	1.0
12	Bugesera	11	30	urban	7.64245	1.0475211754545455	1.8988625000000001	1.0	1.0	1.0	1.8988625000000001	1.0	1.0
13	Bugesera	6	30	rural	3.2851999999999997	0.9688989600000001	1.20123125	1.0	1.0	1.0	1.20123125	1.0	1.0
13	Bugesera	6	30	urban	9.14245	1.10736663	3.7738625	1.0	1.0	1.0	3.7738625	1.0	1.0
14	Bugesera	12	30	rural	3.224704454342984	0.917232664064588	1.2290482739420936	1.0	1.0	1.0	1.2290482739420936	1.0	1.0
14	Bugesera	12	30	urban	7.84245	1.0512992225925926	2.1488625	1.0	1.0	1.0	2.1488625	1.0	1.0
15	Bugesera	7	30	rural	3.2226999999999997	0.9172529568190386	1.2273968661639962	1.0	1.0	1.0	1.2273968661639962	1.0	1.0
15	Bugesera	7	30	urban	7.684778042328044	1.0444275206525573	1.9517725529100531	1.0	1.0	1.0	1.9517725529100531	1.0	1.0
16	Bugesera	15	30	rural	3.2227000000000006	0.925405703266979	1.221929800936768	1.0	1.0	1.0	1.221929800936768	1.0	1.0
16	Bugesera	15	30	urban	7.64245	1.0425928303633532	1.8988625	1.0	1.0	1.0	1.8988625	1.0	1.0
17	Bugesera	20	30	rural	3.333471487956963	0.924993174986551	1.2562678719892406	1.0	1.0	1.0	1.2562678719892406	1.0	1.0
17	Bugesera	20	30	urban	8.568577527216174	1.0825593809936063	3.056521909020218	1.0	1.0	1.0	3.056521909020218	1.0	1.0
18	Bugesera	16	30	rural	3.2227	0.9232190171947491	1.2058564172826918	1.0	1.0	1.0	1.2058564172826918	1.0	1.0
18	Bugesera	16	30	urban	7.64245	1.04251663	1.8988625000000001	1.0	1.0	1.0	1.8988625000000001	1.0	1.0
19	Bugesera	8	30	rural	3.2231303851947493	0.9176740938228964	1.2207204701958252	1.0	1.0	1.0	1.2207204701958252	1.0	1.0
19	Bugesera	8	30	urban	7.64245	1.04251663	1.8988625000000001	1.0	1.0	1.0	1.8988625000000001	1.0	1.0
20	Bugesera	18	30	rural	3.556699001497753	0.9355016231927109	1.312012343984024	1.0	1.0	1.0	1.312012343984024	1.0	1.0
20	Bugesera	18	30	urban	9.090360902047593	1.1050883856723852	3.7086473644161595	1.0	1.0	1.0	3.7086473644161595	1.0	1.0
21	Bugesera	10	30	rural	3.4411542586750783	0.9296642695425867	1.2756964511041011	1.0	1.0	1.0	1.2756964511041011	1.0	1.0
21	Bugesera	10	30	urban	9.133818035574157	1.106993441404656	3.7630725444676956	1.0	1.0	1.0	3.7630725444676956	1.0	1.0
22	Bugesera	9	30	rural	3.2227000000000006	0.9291206279847415	1.228575	1.0	1.0	1.0	1.228575	1.0	1.0
22	Bugesera	9	30	urban	7.64245	1.0434272315037594	1.8988625000000001	1.0	1.0	1.0	1.8988625000000001	1.0	1.0
23	Gatsibo	123	26	rural	3.0000000000000004	0.9055933000000002	1.1372625000000003	1.0	1.0	1.0	1.1372625000000003	1.0	1.0
23	Gatsibo	123	26	urban	7.450950000000001	1.0158643150000002	1.5882125000000002	1.0	1.0	1.0	1.5882125000000002	1.0	1.0
24	Gatsibo	118	26	rural	3.0000000000000004	0.9055933000000002	1.1372625000000003	1.0	1.0	1.0	1.1372625000000003	1.0	1.0
24	Gatsibo	118	26	urban	7.450950000000001	1.0158643150000002	1.5882125000000002	1.0	1.0	1.0	1.5882125000000002	1.0	1.0
25	Gatsibo	102	26	rural	3.0000000000000004	0.9055933000000002	1.1372625000000003	1.0	1.0	1.0	1.1372625000000003	1.0	1.0
25	Gatsibo	102	26	urban	7.450950000000001	1.0158643150000002	1.5882125000000002	1.0	1.0	1.0	1.5882125000000002	1.0	1.0
26	Gatsibo	119	26	rural	3.0	0.9065796512989532	1.1372625	1.0	1.0	1.0	1.1372625	1.0	1.0
26	Gatsibo	119	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
27	Gatsibo	117	26	rural	3.0	0.9140558954198473	1.1372625	1.0	1.0	1.0	1.1372625	1.0	1.0
27	Gatsibo	117	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
28	Gatsibo	103	26	rural	3.0	0.9746244746987952	1.1372625	1.0	1.0	1.0	1.1372625	1.0	1.0
28	Gatsibo	103	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
29	Gatsibo	100	26	rural	3.0	0.9282074448692152	1.130383727364185	1.0	1.0	1.0	1.130383727364185	1.0	1.0
29	Gatsibo	100	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
30	Gatsibo	110	26	rural	3.0	0.9391731740416209	1.1372625	1.0	1.0	1.0	1.1372625	1.0	1.0
30	Gatsibo	110	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
31	Gatsibo	108	26	rural	3.0	0.9159061757653062	1.1371273278061225	1.0	1.0	1.0	1.1371273278061225	1.0	1.0
31	Gatsibo	108	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
32	Gatsibo	109	26	rural	3.0	0.9079869431226766	1.135938150557621	1.0	1.0	1.0	1.135938150557621	1.0	1.0
32	Gatsibo	109	26	urban	7.450950000000001	1.0159333865181934	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
33	Gatsibo	106	26	rural	3.0	0.9173286086419754	1.1321801954732509	1.0	1.0	1.0	1.1321801954732509	1.0	1.0
33	Gatsibo	106	26	urban	7.450950000000001	1.0171911226398362	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
34	Gatsibo	122	26	rural	3.0	0.9223736376365442	1.136362549652433	1.0	1.0	1.0	1.136362549652433	1.0	1.0
34	Gatsibo	122	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
35	Gatsibo	41	26	rural	3.0000000000000004	0.9055933000000002	1.1372625000000003	1.0	1.0	1.0	1.1372625000000003	1.0	1.0
35	Gatsibo	41	26	urban	7.450950000000001	1.0158643150000002	1.5882125000000002	1.0	1.0	1.0	1.5882125000000002	1.0	1.0
36	Gatsibo	111	26	rural	3.0	0.9068749306838741	1.1372625	1.0	1.0	1.0	1.1372625	1.0	1.0
36	Gatsibo	111	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
37	Gatsibo	104	26	rural	3.0	0.9472530832287507	1.1372625	1.0	1.0	1.0	1.1372625	1.0	1.0
37	Gatsibo	104	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
38	Gatsibo	120	26	rural	3.0	0.9113579253179418	1.1372625	1.0	1.0	1.0	1.1372625	1.0	1.0
38	Gatsibo	120	26	urban	7.450950000000001	1.015864315	1.5882125	1.0	1.0	1.0	1.5882125	1.0	1.0
