DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Biogas	Charcoal_0	Charcoal_1	Charcoal_2	Com-Firewood_0	Com-Firewood_1	Com-Firewood_2	Electric_0	Electric_1	Electric_2	Ethanol	Free-Biomass_0	Free-Biomass_1	Free-Biomass_2	Free-Firewood_0	Free-Firewood_1	Free-Firewood_2	LPG	Pellets
1	Bugesera	24	30	rural	0.00020000000000000004	0.020000000000000004	0.05	0.004000000000000001	0.3100000000000001	0.226	0.027000000000000003	0.0020000000000000005	0.00010000000000000002	0.00010000000000000002	0.0	0.03	0.029	0.014000000000000002	0.15	0.1	0.0146	0.020000000000000004	0.0030000000000000005
1	Bugesera	24	30	urban	0.0	0.08	0.33	0.026999999999999996	0.08	0.05	0.015	0.015	0.0020000000000000005	0.0010000000000000002	0.02	0.008000000000000002	0.005	0.0030000000000000005	0.03	0.015	0.018	0.29999999999999993	0.0010000000000000002
2	Bugesera	19	30	rural	0.00020000000000000004	0.019999999999999997	0.05000000000000001	0.003999999999999999	0.30999999999999994	0.22599999999999995	0.027000000000000003	0.0019999999999999996	0.00010000000000000002	0.00010000000000000002	0.0	0.029999999999999992	0.028999999999999998	0.014000000000000002	0.15	0.10000000000000002	0.0146	0.019999999999999997	0.003
2	Bugesera	19	30	urban	0.0	0.08000000000000003	0.3300000000000001	0.027000000000000007	0.08000000000000003	0.05000000000000001	0.015000000000000001	0.015000000000000001	0.0020000000000000005	0.0010000000000000002	0.020000000000000007	0.008000000000000002	0.005000000000000002	0.003000000000000001	0.030000000000000002	0.015000000000000001	0.018000000000000002	0.30000000000000004	0.0010000000000000002
3	Bugesera	13	30	rural	0.00020000000000000004	0.020000000000000004	0.05	0.004000000000000001	0.31	0.22600000000000003	0.027000000000000007	0.0020000000000000005	0.00010000000000000002	0.00010000000000000002	0.0	0.030000000000000002	0.02900000000000001	0.014000000000000002	0.15000000000000002	0.1	0.0146	0.020000000000000004	0.003000000000000001
3	Bugesera	13	30	urban	0.0	0.08	0.33	0.027000000000000003	0.08	0.05	0.015000000000000001	0.015000000000000001	0.0020000000000000005	0.0010000000000000002	0.02	0.008000000000000002	0.005	0.0029999999999999996	0.030000000000000002	0.015000000000000001	0.018	0.30000000000000004	0.0010000000000000002
4	Bugesera	23	30	rural	0.0002	0.02	0.05	0.004	0.30999999999999994	0.22600000000000003	0.027	0.002	0.0001	0.0001	0.0	0.03	0.029000000000000005	0.013999999999999999	0.15	0.1	0.014599999999999998	0.02	0.003
4	Bugesera	23	30	urban	0.0	0.07999999999999997	0.3299999999999999	0.026999999999999996	0.07999999999999997	0.04999999999999998	0.014999999999999993	0.014999999999999993	0.001999999999999999	0.0009999999999999996	0.019999999999999993	0.007999999999999997	0.004999999999999998	0.002999999999999999	0.029999999999999985	0.014999999999999993	0.01799999999999999	0.29999999999999993	0.0009999999999999996
5	Bugesera	22	30	rural	0.00020000000000000004	0.020000000000000004	0.05000000000000001	0.004000000000000001	0.31000000000000005	0.22600000000000003	0.027000000000000003	0.0020000000000000005	0.00010000000000000002	0.00010000000000000002	0.0	0.030000000000000006	0.029000000000000005	0.014	0.15	0.10000000000000002	0.014600000000000002	0.020000000000000004	0.0030000000000000005
5	Bugesera	22	30	urban	0.0	0.08000000000000002	0.33000000000000007	0.027000000000000003	0.08000000000000002	0.050000000000000024	0.015000000000000005	0.015000000000000005	0.002000000000000001	0.0010000000000000005	0.020000000000000004	0.008000000000000004	0.005000000000000001	0.0030000000000000014	0.03000000000000001	0.015000000000000005	0.018000000000000002	0.3000000000000001	0.0010000000000000005
