DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Biogas	Charcoal_0	Charcoal_1	Charcoal_2	Com-Firewood_0	Com-Firewood_1	Com-Firewood_2	Electric_0	Electric_1	Electric_2	Ethanol	Free-Biomass_0	Free-Biomass_1	Free-Biomass_2	Free-Firewood_0	Free-Firewood_1	Free-Firewood_2	LPG	Pellets
1	Bugesera	24	30	rural	0.1753553183463894	1.021584163140025	0.8458907618316813	0.6757653485188105	1.1403667750636188	0.9034833875318095	0.7134889250212062	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	3.339446251060313	2.0030231255301567	1.4465154170201042	0.05146364024893594	0.3429302003081664
1	Bugesera	24	30	urban	0.34783905291961204	1.024105222607175	0.8473613798541855	0.6768241934950134	1.2213541890357098	0.9439770945178549	0.7404847296785699	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	4.689236483928497	2.677918241964248	1.896445494642832	0.05146364024893594	0.3429302003081664
2	Bugesera	19	30	rural	0.1756878946809527	1.0215141551433897	0.8458499238336441	0.6757359451602236	1.1416416900426305	0.9041208450213153	0.7139138966808768	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	3.360694834043842	2.013647417021921	1.453598278014614	0.05146364024893594	0.3429302003081664
2	Bugesera	19	30	urban	0.3472217123193906	1.0239166746971593	0.8472513935733429	0.6767450033728069	1.2191163743364875	0.9428581871682438	0.7397387914454958	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	4.651939572274791	2.6592697861373953	1.8840131907582633	0.05146364024893594	0.3429302003081664
3	Bugesera	13	30	rural	0.1823992467123982	1.0224160721288784	0.8463760420751791	0.6761147502941289	1.1457116008108685	0.9061558004054343	0.7152705336036228	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	3.428526680181142	2.047563340090571	1.4762088933937139	0.05146364024893594	0.3429302003081664
3	Bugesera	13	30	urban	0.3699216799722195	1.0246895791506088	0.8477022545045217	0.6770696232432556	1.3033056204087279	0.984952810204364	0.767801873469576	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	6.055093673478797	3.360846836739398	2.3517312244929323	0.05146364024893594	0.3429302003081664
4	Bugesera	23	30	rural	0.17590694180833227	1.0212281529069043	0.8456830891956941	0.6756158242208997	1.1394005833149214	0.9030002916574608	0.7131668611049737	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	3.3233430552486913	1.9949715276243456	1.441147685082897	0.05146364024893594	0.3429302003081664
4	Bugesera	23	30	urban	0.35207904864386363	1.023948259216471	0.8472698178762749	0.6767582688709178	1.2351569615049478	0.9508784807524739	0.7450856538349825	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	4.919282691749128	2.7929413458745644	1.9731275639163761	0.05146364024893594	0.3429302003081664
5	Bugesera	22	30	rural	0.17561358634523366	1.0219909393479258	0.8461280479529568	0.6759361945261289	1.1418676044467975	0.9042338022233987	0.7139892014822657	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	3.364460074113289	2.0155300370566445	1.454853358037763	0.05146364024893594	0.3429302003081664
5	Bugesera	22	30	urban	0.34856096403893827	1.024097508573632	0.8473568800012853	0.6768209536009253	1.2235614032721096	0.9450807016360548	0.7412204677573698	0.0167	0.0167	0.0167	0.0540453074433657	3.696289905090595	2.1814449525452977	1.565463301696865	4.726023387868494	2.696311693934247	1.9087077959561647	0.05146364024893594	0.3429302003081664
