DemandArea_Id;Region;ElArea_Id;LpgArea_Id;Num_Buildings
206;Kicukiro;251;3;2587
207;Kicukiro;259;3;7512
208;Kicukiro;260;3;4428
209;Nyarugenge;458;1;6157
210;Nyarugenge;457;1;10391
211;Nyarugenge;452;1;13297
212;Nyarugenge;459;1;3034
213;Nyarugenge;460;1;3027
214;Nyarugenge;454;1;10392
215;Nyarugenge;450;1;9362
216;Nyarugenge;456;1;1777
217;Nyarugenge;455;1;5647
218;Nyarugenge;461;1;1814
219;Nyarugenge;479;1;7116
220;Nyarugenge;449;1;6083
221;Nyarugenge;453;1;4670
222;Nyarugenge;451;1;8372
223;Nyarugenge;279;1;10425
224;Nyarugenge;462;1;6341
225;Burera;30;22;3399
226;Burera;32;22;8797
227;Burera;36;22;7267
228;Burera;34;22;11465
229;Burera;27;22;4731
230;Burera;31;22;7524
231;Burera;25;22;4370
232;Burera;38;22;2057
233;Burera;28;22;1788
234;Burera;39;22;3694
235;Burera;37;22;14681
236;Burera;26;22;3971
237;Burera;29;22;3120
238;Burera;35;22;3351
239;Burera;33;22;5624
240;Burera;148;22;4686
241;Gakenke;50;20;6243
242;Gakenke;48;20;3720
243;Gakenke;43;20;3376
244;Gakenke;53;20;3466
245;Gakenke;54;20;6584
246;Gakenke;46;20;2714
247;Gakenke;45;20;5343
248;Gakenke;64;20;5639
249;Gakenke;60;20;4211
250;Gakenke;65;20;5623
251;Gakenke;63;20;5271
252;Gakenke;44;20;1611
253;Gakenke;61;20;3969
254;Gakenke;62;20;3310
255;Gakenke;59;20;975
256;Gakenke;49;20;3298
257;Gakenke;52;20;3326
258;Gakenke;58;20;2100
259;Gakenke;57;20;4888
260;Gakenke;66;20;3889
261;Gakenke;51;20;3488
262;Gakenke;55;20;2595
263;Gakenke;47;20;1769
264;Gakenke;56;20;1951
265;Gicumbi;146;23;4393
266;Gicumbi;138;23;3326
267;Gicumbi;143;23;3224
268;Gicumbi;145;23;5104
269;Gicumbi;130;23;3905
270;Gicumbi;141;23;2791
271;Gicumbi;140;23;4343
272;Gicumbi;129;23;3954
273;Gicumbi;131;23;7580
274;Gicumbi;147;23;11067
275;Gicumbi;134;23;4249
276;Gicumbi;137;23;1687
277;Gicumbi;125;23;5646
278;Gicumbi;126;23;2759
279;Gicumbi;124;23;4221
280;Gicumbi;135;23;9513
281;Gicumbi;128;23;836
282;Gicumbi;139;23;4992
283;Gicumbi;127;23;793
284;Gicumbi;142;23;3083
285;Gicumbi;144;23;4396
286;Gicumbi;133;23;5111
287;Gicumbi;136;23;1620
288;Gicumbi;132;23;2845
289;Musanze;311;21;13523
290;Musanze;316;21;3028
291;Musanze;314;21;4301
292;Musanze;301;21;4050
293;Musanze;40;21;12765
294;Musanze;308;21;13069
295;Musanze;310;21;8426
296;Musanze;306;21;3446
297;Musanze;307;21;6338
298;Musanze;305;21;8386
299;Musanze;315;21;7807
300;Musanze;304;21;7020
301;Musanze;303;21;4284
302;Musanze;309;21;5194
303;Musanze;312;21;5498
304;Musanze;313;21;4535
305;Musanze;302;21;9309
306;Rulindo;525;19;8282
307;Rulindo;515;19;7354
308;Rulindo;530;19;3998
309;Rulindo;527;19;837
310;Rulindo;529;19;1847
311;Rulindo;518;19;5944
312;Rulindo;528;19;1613
313;Rulindo;519;19;3996
314;Rulindo;524;19;2065
315;Rulindo;516;19;1580
316;Rulindo;517;19;4177
317;Rulindo;521;19;2476
