Technologies_id	Tech_name	Fuel_id	Appliance_id	FuelPrice	AppliancePrice	Health	FuelTimeGen	ApplianceTimeGen	Emissions	Deforestation
1	Electric_0	1	1	0.199	0.00410958904109589	0.0	0.0	0.0167	0.22222222222222224	0.0
2	Electric_1	1	2	0.14214285714285715	0.007842465753424658	0.0	0.0	0.0167	0.15873015873015875	0.0
3	Electric_2	1	3	0.10473684210526317	0.011917808219178082	0.0	0.0	0.0167	0.11695906432748539	0.0
4	LPG	2	4	0.0743602428471901	0.012420091324200914	0.1191	0.0014636402489359335	0.05	0.20950878746904103	0.0
5	Biogas	3	5	0.17048212263387802	0.012420091324200914	0.5628	0.03889089393053152	0.05	0.35448768924394836	0.0
6	Charcoal_0	4	6	0.15055094997305452	0.0	0.7624	0.022932361001226885	1.0	4.3593744393899705	4.0091540211935115
7	Charcoal_1	4	7	0.0878213874842818	0.0136986301369863	0.716	0.013377210584049016	0.8333	2.702193422977483	2.3386731790295485
8	Charcoal_2	4	8	0.06323139898868288	0.0136986301369863	0.4432	0.009631591620515292	0.6667	1.9455672645437878	1.6838446889012748
9	Com-Firewood_0	5	9	0.1663589506885145	0.0	1.0	0.11539349180706208	1.0	4.966063487474744	2.0244472246852996
10	Com-Firewood_1	5	10	0.08317947534425725	0.010958904109589041	0.9253	0.05769674590353104	0.8333	2.4616317437373723	1.0122236123426498
11	Com-Firewood_2	5	11	0.05545298356283816	0.010958904109589041	0.8489	0.038464497269020695	0.6667	1.5911878291582484	0.6748157415617666
12	Free-Biomass_0	6	9	0.0	0.0	1.0	2.696289905090595	1.0	6.68902945067587	0.0
13	Free-Biomass_1	6	10	0.0	0.010958904109589041	0.9253	1.3481449525452975	0.8333	3.323114725337935	0.0
14	Free-Biomass_2	6	11	0.0	0.010958904109589041	0.8489	0.8987633016968651	0.6667	2.165509816891957	0.0
15	Pellets	7	12	0.06620762711864407	0.01315068493150685	0.661	0.009630200308166411	0.3333	0.40674681696537185	0.253426323899116
16	Free-Firewood_0	8	9	0.0	0.0	1.0	1.9232248634510347	1.0	4.628323717523012	1.9624743504602395
17	Free-Firewood_1	8	10	0.0	0.010958904109589041	0.9253	0.9616124317255174	0.8333	2.292761858761506	0.9812371752301198
18	Free-Firewood_2	8	11	0.0	0.010958904109589041	0.8489	0.6410749544836782	0.6667	1.478607905841004	0.6541581168200798
19	Ethanol	9	13	0.1111111111111111	0.0073059360730593605	0.39	0.0040453074433656954	0.05	0.2118074763886137	0.0
