DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Biogas	Charcoal	Com-Firewood	Electricity	Ethanol	Free-Biomass	Free-Firewood	LPG	Pellets
23	Gatsibo	123	26	urban	1.0	1.0414675000000002	0.7323575000000002	1.0	1.0	1.0	1.0	1.0	1.0
24	Gatsibo	118	26	rural	1.0	0.90981	0.6274525000000001	1.0	1.0	1.0	1.0	1.0	1.0
24	Gatsibo	118	26	urban	1.0	1.0414675000000002	0.7323575000000002	1.0	1.0	1.0	1.0	1.0	1.0
25	Gatsibo	102	26	rural	1.0	0.90981	0.6274525000000001	1.0	1.0	1.0	1.0	1.0	1.0
25	Gatsibo	102	26	urban	1.0	1.0414675000000002	0.7323575000000002	1.0	1.0	1.0	1.0	1.0	1.0
26	Gatsibo	119	26	rural	1.0	0.90981	0.6274525	1.0	1.0	1.0	1.0	1.0	1.0
26	Gatsibo	119	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
27	Gatsibo	117	26	rural	1.0	0.90981	0.6274525	1.0	1.0	1.0	1.0	1.0	1.0
27	Gatsibo	117	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
28	Gatsibo	103	26	rural	1.0	0.90981	0.6274525	1.0	1.0	1.0	1.0	1.0	1.0
28	Gatsibo	103	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
29	Gatsibo	100	26	rural	1.0	0.9043069818913481	0.6260767454728371	1.0	1.0	1.0	1.0	1.0	1.0
29	Gatsibo	100	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
30	Gatsibo	110	26	rural	1.0	0.90981	0.6274525	1.0	1.0	1.0	1.0	1.0	1.0
30	Gatsibo	110	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
31	Gatsibo	108	26	rural	1.0	0.909701862244898	0.6274254655612245	1.0	1.0	1.0	1.0	1.0	1.0
31	Gatsibo	108	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
32	Gatsibo	109	26	rural	1.0	0.9087505204460966	0.6271876301115242	1.0	1.0	1.0	1.0	1.0	1.0
32	Gatsibo	109	26	urban	1.0	1.0410910884567128	0.7323575000000001	1.0	1.0	1.0	1.0	1.0	1.0
33	Gatsibo	106	26	rural	1.0	0.9057441563786008	0.6264360390946502	1.0	1.0	1.0	1.0	1.0	1.0
33	Gatsibo	106	26	urban	1.0	1.0342369406548433	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
34	Gatsibo	122	26	rural	1.0	0.9090900397219464	0.6272725099304866	1.0	1.0	1.0	1.0	1.0	1.0
34	Gatsibo	122	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
35	Gatsibo	41	26	rural	1.0	0.90981	0.6274525000000001	1.0	1.0	1.0	1.0	1.0	1.0
35	Gatsibo	41	26	urban	1.0	1.0414675000000002	0.7323575000000002	1.0	1.0	1.0	1.0	1.0	1.0
36	Gatsibo	111	26	rural	1.0	0.90981	0.6274525	1.0	1.0	1.0	1.0	1.0	1.0
36	Gatsibo	111	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
37	Gatsibo	104	26	rural	1.0	0.90981	0.6274525	1.0	1.0	1.0	1.0	1.0	1.0
37	Gatsibo	104	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
38	Gatsibo	120	26	rural	1.0	0.90981	0.6274525	1.0	1.0	1.0	1.0	1.0	1.0
38	Gatsibo	120	26	urban	1.0	1.0414675	0.7323575	1.0	1.0	1.0	1.0	1.0	1.0
39	Gatsibo	121	26	rural	1.0	0.90981	0.6274525	1.0	1.0	1.0	1.0	1.0	1.0
