GrowthPat_Id	GrowthPat_Name	Is_Urban	Income_growth	Population_growth	Technology_progress	Social_weight	Health	Time_gen	Emissions	Deforestation
1	General	0	0.007	0.008	0.01	0.01	0.005	0.01	0	-0.001
1	General	1	0.01	0.083	0.015	0.01	0.005	0.01	0	-0.001
